round,B. Jerusalem,Kiryat Shmona,Bnei Sakhnin,H. Kfar Saba,FC Ashdod,M. Tel Aviv,Hapoel Tel Aviv,Maccabi Netanya,M. Petah Tikva,Maccabi Haifa,Bnei Yehuda,Maccabi Herzlya
1,1,1,3,3,5,5,7,7,9,9,11,11
2,1,2,5,5,3,8,9,3,7,11,10,12
3,1,2,3,4,6,10,8,6,5,11,9,12
4,1,6,3,4,8,11,10,5,2,9,7,12
5,1,3,7,6,9,12,10,2,4,8,5,11
6,1,4,3,7,9,12,11,2,6,5,8,10
7,1,5,3,8,6,12,11,2,4,7,9,10
8,1,5,4,7,8,11,12,2,3,6,10,9
9,1,6,2,7,9,12,11,3,4,5,10,8
10,1,7,3,6,9,11,12,4,2,5,10,8
11,1,6,3,7,9,11,12,4,2,5,10,8
12,1,4,5,7,8,10,12,2,3,6,11,9
13,1,5,6,7,10,8,12,2,4,3,11,9
14,1,5,6,7,10,8,11,2,4,3,12,9
15,1,4,5,7,10,9,11,2,6,3,12,8
16,1,4,5,7,11,8,10,3,6,2,12,9
17,1,5,4,7,12,9,10,2,6,3,11,8
18,1,3,5,7,11,9,10,2,6,4,12,8
19,1,3,4,7,11,9,10,2,6,5,12,8
20,1,4,5,7,11,9,10,2,6,3,12,8
21,1,5,3,7,11,8,9,2,6,4,12,10
22,1,3,4,7,11,8,9,2,6,5,12,10
23,1,3,4,7,11,8,10,2,6,5,12,9
24,1,3,4,7,11,8,10,2,6,5,12,9
25,1,4,5,7,11,8,9,2,6,3,12,10
26,1,3,4,6,10,7,9,2,8,5,12,11
27,1,3,4,8,11,6,7,2,9,5,12,10
28,1,3,4,9,11,6,7,2,8,5,12,10
29,1,3,4,8,10,6,7,2,9,5,12,11
30,1,3,4,9,12,7,6,2,8,5,10,11
31,1,4,3,10,11,6,7,2,9,5,8,12
32,1,3,4,11,8,6,7,2,10,5,9,12
33,1,3,4,11,8,6,7,2,10,5,9,12
