round,Hapoel Raanana,Maccabi Haifa,M. Tel Aviv,Hapoel Tel Aviv,H. Beer Sheva,B. Jerusalem,Hapoel Acre,Hapoel Haifa,Kiryat Shmona,FC Ashdod,Maccabi Netanya,Bnei Sakhnin,M. Petah Tikva,H. Petah Tikva
1,1,2,3,4,5,5,5,5,9,9,11,12,13,14
2,6,7,1,11,3,5,8,11,2,4,9,10,13,14
3,9,3,6,7,2,5,10,13,1,4,12,11,8,14
4,8,5,3,7,2,6,12,9,1,4,14,11,10,13
5,5,7,3,9,2,4,14,11,1,6,10,13,12,8
6,6,8,3,5,2,4,11,13,1,8,12,14,7,10
7,5,12,3,7,2,4,9,14,1,11,8,10,6,13
8,7,8,3,4,2,5,11,12,1,13,9,10,6,14
9,8,11,3,4,2,6,12,13,1,10,7,9,5,14
10,8,6,3,4,2,9,13,14,1,7,10,11,5,12
11,9,5,2,6,3,7,10,12,1,8,11,13,4,14
12,11,7,3,8,2,6,13,14,1,4,9,12,5,10
13,11,5,2,8,3,7,13,14,1,6,9,10,4,12
14,11,4,2,6,3,8,14,13,1,7,10,9,5,12
15,12,4,2,8,3,5,14,11,1,10,9,7,6,13
16,12,5,2,8,3,4,14,11,1,6,10,9,7,13
17,11,8,2,9,3,4,14,7,1,6,12,10,5,13
18,7,11,2,8,3,4,14,10,1,5,9,12,6,13
19,5,9,1,10,3,4,14,11,2,6,8,12,7,13
20,5,9,1,11,3,4,14,12,2,8,7,10,6,13
21,6,10,1,9,3,4,14,12,2,8,7,11,5,13
22,6,7,1,10,3,5,14,12,2,11,9,8,4,13
23,6,8,1,10,3,5,14,12,2,11,7,9,4,13
24,6,7,1,11,3,5,14,12,2,10,8,9,4,13
25,7,6,1,10,3,4,14,12,2,11,9,8,5,13
26,7,6,1,10,2,4,14,12,3,11,8,9,5,13
