round,M. Tel Aviv,Maccabi Haifa,Bnei Yehuda,Hapoel Haifa,Hapoel Hadera,FC Ashdod,H. Beer Sheva,Maccabi Netanya,B. Jerusalem,Hapoel Tel Aviv,Hapoel Raanana,Kiryat Shmona,H. Kfar Saba,Ness Ziona
1,1,2,3,4,5,5,7,7,7,7,11,12,13,14
2,3,4,6,7,12,5,1,1,10,10,9,13,8,14
3,2,1,7,2,8,6,4,5,12,11,10,14,9,13
4,1,5,3,6,4,8,2,7,10,12,11,14,9,13
5,1,3,4,6,5,7,2,8,11,12,10,14,9,13
6,2,3,5,7,4,8,1,10,9,12,11,13,6,14
7,2,3,6,7,4,9,1,11,5,10,12,13,8,14
8,1,2,8,6,5,7,3,13,4,11,12,10,9,14
9,1,2,8,5,6,7,3,13,4,11,12,10,9,14
10,1,2,7,6,5,8,3,11,4,9,14,12,10,13
11,1,2,5,7,6,8,3,9,4,11,14,13,10,12
12,1,2,5,6,7,9,3,8,4,11,12,14,10,13
13,1,2,6,5,8,9,3,7,4,10,13,12,11,14
14,1,2,8,5,7,10,4,6,3,12,13,11,9,14
15,1,2,8,5,7,10,4,6,3,12,14,9,11,13
16,1,2,5,6,7,11,4,8,3,9,14,10,12,13
17,1,2,7,8,5,10,4,6,3,9,14,11,13,12
18,1,2,9,6,5,10,4,8,3,7,14,11,12,13
19,1,2,7,8,6,10,4,9,3,5,14,11,12,13
20,1,2,9,8,6,10,4,7,3,5,13,11,12,14
21,1,2,8,7,6,10,4,9,3,5,13,12,11,14
22,1,2,8,6,5,10,4,9,3,7,13,12,11,14
23,1,2,8,6,5,10,4,9,3,7,13,12,11,14
24,1,2,9,7,6,10,4,8,3,5,14,12,11,13
25,1,2,8,5,7,10,4,9,3,6,14,12,11,13
26,1,2,7,6,8,10,4,9,3,5,14,12,11,13
