season,season_year,player_name,position,nationality,club,market_value_millions
2007/08,2007,,Unknown,Poland,2 Clubs,0.0
2009/10,2009,,Unknown,Czech Republic,2 Clubs,0.0
2009/10,2009,,Unknown,Kazakhstan,2 Clubs,0.0
2010/11,2010,,Unknown,Uruguay,2 Clubs,0.0
2010/11,2010,,Unknown,Cote d'Ivoire,2 Clubs,0.0
2010/11,2010,,Unknown,Armenia,2 Clubs,0.0
2012/13,2012,,Unknown,Ghana,2 Clubs,0.0
2012/13,2012,,Unknown,Suriname,2 Clubs,0.0
2014/15,2014,,Unknown,Spain,2 Clubs,0.0
2014/15,2014,,Unknown,Montenegro,2 Clubs,0.0
2014/15,2014,,Unknown,Albania,2 Clubs,0.0
2014/15,2014,,Unknown,Greece,2 Clubs,0.0
2014/15,2014,,Unknown,Argentina,2 Clubs,0.0
2015/16,2015,,Unknown,The Gambia,2 Clubs,0.0
2015/16,2015,,Unknown,Burkina Faso,2 Clubs,0.0
2016/17,2016,,Unknown,Argentina,2 Clubs,0.0
2016/17,2016,,Unknown,Palestine,2 Clubs,0.0
2016/17,2016,,Unknown,Chad,2 Clubs,0.0
2016/17,2016,,Unknown,Angola,2 Clubs,0.0
2017/18,2017,,Unknown,France,2 Clubs,0.0
2017/18,2017,,Unknown,Belarus,2 Clubs,0.0
2018/19,2018,,Unknown,France,2 Clubs,0.0
2018/19,2018,,Unknown,Slovakia,2 Clubs,0.0
2018/19,2018,,Unknown,Suriname,2 Clubs,0.0
2018/19,2018,,Unknown,Guadeloupe,2 Clubs,0.0
2018/19,2018,,Unknown,Zambia,2 Clubs,0.0
2019/20,2019,,Unknown,Costa Rica,2 Clubs,0.0
2019/20,2019,,Unknown,Slovakia,2 Clubs,0.0
2020/21,2020,,Unknown,Panama,2 Clubs,0.0
2020/21,2020,,Unknown,United States,2 Clubs,0.0
2020/21,2020,,Unknown,The Gambia,2 Clubs,0.0
2021/22,2021,,Unknown,Brazil,2 Clubs,0.0
2021/22,2021,,Unknown,Montenegro,2 Clubs,0.0
2021/22,2021,,Unknown,Panama,2 Clubs,0.0
2022/23,2022,,Unknown,Palestine,2 Clubs,0.0
2022/23,2022,,Unknown,Guadeloupe,2 Clubs,0.0
2023/24,2023,,Unknown,Colombia,2 Clubs,0.0
