season,combined_competitiveness_score,combined_competitiveness_rank
2006/07,24.319486226606262,20
2017/18,31.167225708574872,19
2019/20,34.90333185420275,18
2025/26,39.212089754537004,17
2016/17,39.43427245125572,16
2011/12,41.4823182092799,15
2013/14,43.72245801695501,14
2009/10,45.239408228243114,13
2018/19,45.48322662576319,12
2010/11,45.95770809735365,11
2022/23,55.69688561224127,10
2015/16,59.15203910569926,9
2023/24,62.66942074421746,8
2024/25,63.205114082939865,7
2021/22,63.36111728702189,6
2008/09,65.72493214530489,5
2007/08,65.95435512249907,4
2020/21,77.84018097376833,3
2012/13,78.07741816464215,2
2014/15,79.64773893781405,1
