season,season_year,playoff_type,home_team,away_team,home_goals,away_goals,goal_diff,result,home_points,away_points
2015/16,2015,relegation,Bnei Yehuda,Hapoel Acre,3,1,2,H,3,0
2015/16,2015,relegation,Bnei Yehuda,Hapoel Tel Aviv,2,4,-2,A,0,3
2015/16,2015,relegation,Bnei Yehuda,Ironi Kiryat Shmona,1,0,1,H,3,0
2015/16,2015,relegation,Bnei Yehuda,Maccabi Petah Tikva,1,2,-1,A,0,3
2015/16,2015,relegation,Hapoel Acre,Hapoel Haifa,2,3,-1,A,0,3
2015/16,2015,relegation,Hapoel Acre,Ironi Kiryat Shmona,1,1,0,D,1,1
2015/16,2015,relegation,Hapoel Acre,Maccabi Netanya,4,1,3,H,3,0
2015/16,2015,relegation,Hapoel Acre,Maccabi Petah Tikva,1,3,-2,A,0,3
2015/16,2015,relegation,Hapoel Haifa,Bnei Yehuda,1,1,0,D,1,1
2015/16,2015,relegation,Hapoel Haifa,Hapoel Kfar Saba,0,0,0,D,1,1
2015/16,2015,relegation,Hapoel Haifa,Maccabi Netanya,2,1,1,H,3,0
2015/16,2015,relegation,Hapoel Kfar Saba,Bnei Yehuda,0,1,-1,A,0,3
2015/16,2015,relegation,Hapoel Kfar Saba,Hapoel Acre,0,0,0,D,1,1
2015/16,2015,relegation,Hapoel Kfar Saba,Hapoel Tel Aviv,0,3,-3,A,0,3
2015/16,2015,relegation,Hapoel Kfar Saba,Ironi Kiryat Shmona,2,1,1,H,3,0
2015/16,2015,relegation,Hapoel Tel Aviv,Hapoel Acre,1,0,1,H,3,0
2015/16,2015,relegation,Hapoel Tel Aviv,Hapoel Haifa,3,3,0,D,1,1
2015/16,2015,relegation,Hapoel Tel Aviv,Maccabi Petah Tikva,0,0,0,D,1,1
2015/16,2015,relegation,Ironi Kiryat Shmona,Hapoel Haifa,2,1,1,H,3,0
2015/16,2015,relegation,Ironi Kiryat Shmona,Hapoel Tel Aviv,1,1,0,D,1,1
2015/16,2015,relegation,Ironi Kiryat Shmona,Maccabi Netanya,2,0,2,H,3,0
2015/16,2015,relegation,Maccabi Netanya,Bnei Yehuda,0,1,-1,A,0,3
2015/16,2015,relegation,Maccabi Netanya,Hapoel Kfar Saba,1,1,0,D,1,1
2015/16,2015,relegation,Maccabi Netanya,Hapoel Tel Aviv,0,1,-1,A,0,3
2015/16,2015,relegation,Maccabi Petah Tikva,Hapoel Haifa,2,1,1,H,3,0
2015/16,2015,relegation,Maccabi Petah Tikva,Hapoel Kfar Saba,0,1,-1,A,0,3
2015/16,2015,relegation,Maccabi Petah Tikva,Ironi Kiryat Shmona,2,0,2,H,3,0
2015/16,2015,relegation,Maccabi Petah Tikva,Maccabi Netanya,2,1,1,H,3,0
2016/17,2016,relegation,F.C. Ashdod,Hapoel Kfar Saba,0,0,0,D,1,1
2016/17,2016,relegation,F.C. Ashdod,Hapoel Ra'anana,2,2,0,D,1,1
2016/17,2016,relegation,F.C. Ashdod,Hapoel Tel Aviv,2,0,2,H,3,0
2016/17,2016,relegation,F.C. Ashdod,Ironi Kiryat Shmona,1,1,0,D,1,1
2016/17,2016,relegation,Bnei Yehuda,F.C. Ashdod,2,1,1,H,3,0
2016/17,2016,relegation,Bnei Yehuda,Hapoel Kfar Saba,1,0,1,H,3,0
2016/17,2016,relegation,Bnei Yehuda,Ironi Kiryat Shmona,0,2,-2,A,0,3
2016/17,2016,relegation,Hapoel Ashkelon,F.C. Ashdod,0,0,0,D,1,1
2016/17,2016,relegation,Hapoel Ashkelon,Bnei Yehuda,1,0,1,H,3,0
2016/17,2016,relegation,Hapoel Ashkelon,Ironi Kiryat Shmona,2,1,1,H,3,0
2016/17,2016,relegation,Hapoel Haifa,F.C. Ashdod,1,1,0,D,1,1
2016/17,2016,relegation,Hapoel Haifa,Bnei Yehuda,1,1,0,D,1,1
2016/17,2016,relegation,Hapoel Haifa,Hapoel Ashkelon,1,4,-3,A,0,3
2016/17,2016,relegation,Hapoel Haifa,Hapoel Tel Aviv,3,3,0,D,1,1
2016/17,2016,relegation,Hapoel Kfar Saba,Hapoel Ashkelon,1,0,1,H,3,0
2016/17,2016,relegation,Hapoel Kfar Saba,Hapoel Haifa,1,0,1,H,3,0
2016/17,2016,relegation,Hapoel Kfar Saba,Hapoel Ra'anana,0,2,-2,A,0,3
2016/17,2016,relegation,Hapoel Ra'anana,Bnei Yehuda,0,2,-2,A,0,3
2016/17,2016,relegation,Hapoel Ra'anana,Hapoel Ashkelon,0,2,-2,A,0,3
2016/17,2016,relegation,Hapoel Ra'anana,Hapoel Haifa,0,2,-2,A,0,3
2016/17,2016,relegation,Hapoel Ra'anana,Hapoel Tel Aviv,1,1,0,D,1,1
2016/17,2016,relegation,Hapoel Tel Aviv,Bnei Yehuda,2,0,2,H,3,0
2016/17,2016,relegation,Hapoel Tel Aviv,Hapoel Ashkelon,0,0,0,D,1,1
2016/17,2016,relegation,Hapoel Tel Aviv,Hapoel Kfar Saba,2,0,2,H,3,0
2016/17,2016,relegation,Ironi Kiryat Shmona,Hapoel Haifa,0,2,-2,A,0,3
2016/17,2016,relegation,Ironi Kiryat Shmona,Hapoel Kfar Saba,1,4,-3,A,0,3
2016/17,2016,relegation,Ironi Kiryat Shmona,Hapoel Ra'anana,2,3,-1,A,0,3
2016/17,2016,relegation,Ironi Kiryat Shmona,Hapoel Tel Aviv,2,3,-1,A,0,3
2017/18,2017,relegation,Bnei Sakhnin,F.C. Ashdod,2,1,1,H,3,0
2017/18,2017,relegation,Bnei Sakhnin,Hapoel Ra'anana,1,3,-2,A,0,3
2017/18,2017,relegation,Bnei Sakhnin,Maccabi Haifa,1,1,0,D,1,1
2017/18,2017,relegation,Bnei Sakhnin,Maccabi Petah Tikva,2,2,0,D,1,1
2017/18,2017,relegation,F.C. Ashdod,Hapoel Ashkelon,1,0,1,H,3,0
2017/18,2017,relegation,F.C. Ashdod,Ironi Kiryat Shmona,1,2,-1,A,0,3
2017/18,2017,relegation,F.C. Ashdod,Maccabi Haifa,2,1,1,H,3,0
2017/18,2017,relegation,Hapoel Ashkelon,Bnei Sakhnin,2,0,2,H,3,0
2017/18,2017,relegation,Hapoel Ashkelon,Hapoel Acre,0,2,-2,A,0,3
2017/18,2017,relegation,Hapoel Ashkelon,Maccabi Petah Tikva,0,2,-2,A,0,3
2017/18,2017,relegation,Hapoel Acre,Bnei Sakhnin,1,2,-1,A,0,3
2017/18,2017,relegation,Hapoel Acre,F.C. Ashdod,1,1,0,D,1,1
2017/18,2017,relegation,Hapoel Acre,Maccabi Petah Tikva,2,1,1,H,3,0
2017/18,2017,relegation,Hapoel Ra'anana,F.C. Ashdod,1,0,1,H,3,0
2017/18,2017,relegation,Hapoel Ra'anana,Hapoel Ashkelon,4,0,4,H,3,0
2017/18,2017,relegation,Hapoel Ra'anana,Hapoel Acre,1,1,0,D,1,1
2017/18,2017,relegation,Ironi Kiryat Shmona,Bnei Sakhnin,2,0,2,H,3,0
2017/18,2017,relegation,Ironi Kiryat Shmona,Hapoel Ashkelon,1,1,0,D,1,1
2017/18,2017,relegation,Ironi Kiryat Shmona,Hapoel Acre,4,0,4,H,3,0
2017/18,2017,relegation,Ironi Kiryat Shmona,Hapoel Ra'anana,0,1,-1,A,0,3
2017/18,2017,relegation,Maccabi Haifa,Hapoel Ashkelon,2,1,1,H,3,0
2017/18,2017,relegation,Maccabi Haifa,Hapoel Acre,4,0,4,H,3,0
2017/18,2017,relegation,Maccabi Haifa,Hapoel Ra'anana,2,0,2,H,3,0
2017/18,2017,relegation,Maccabi Haifa,Ironi Kiryat Shmona,1,2,-1,A,0,3
2017/18,2017,relegation,Maccabi Petah Tikva,F.C. Ashdod,2,1,1,H,3,0
2017/18,2017,relegation,Maccabi Petah Tikva,Hapoel Ra'anana,1,3,-2,A,0,3
2017/18,2017,relegation,Maccabi Petah Tikva,Ironi Kiryat Shmona,2,0,2,H,3,0
2017/18,2017,relegation,Maccabi Petah Tikva,Maccabi Haifa,0,1,-1,A,0,3
2018/19,2018,relegation,Beitar Jerusalem,Bnei Sakhnin,0,0,0,D,1,1
2018/19,2018,relegation,Beitar Jerusalem,F.C. Ashdod,2,3,-1,A,0,3
2018/19,2018,relegation,Beitar Jerusalem,Maccabi Petah Tikva,4,1,3,H,3,0
2018/19,2018,relegation,Bnei Sakhnin,Hapoel Haifa,1,2,-1,A,0,3
2018/19,2018,relegation,Bnei Sakhnin,Ironi Kiryat Shmona,0,2,-2,A,0,3
2018/19,2018,relegation,Bnei Sakhnin,Maccabi Petah Tikva,1,1,0,D,1,1
2018/19,2018,relegation,F.C. Ashdod,Bnei Sakhnin,1,2,-1,A,0,3
2018/19,2018,relegation,F.C. Ashdod,Hapoel Haifa,1,0,1,H,3,0
2018/19,2018,relegation,F.C. Ashdod,Ironi Kiryat Shmona,3,2,1,H,3,0
2018/19,2018,relegation,Hapoel Haifa,Beitar Jerusalem,0,0,0,D,1,1
2018/19,2018,relegation,Hapoel Haifa,Hapoel Ra'anana,0,2,-2,A,0,3
2018/19,2018,relegation,Hapoel Haifa,Hapoel Tel Aviv,0,0,0,D,1,1
2018/19,2018,relegation,Hapoel Haifa,Maccabi Petah Tikva,0,3,-3,A,0,3
2018/19,2018,relegation,Hapoel Ra'anana,Beitar Jerusalem,1,2,-1,A,0,3
2018/19,2018,relegation,Hapoel Ra'anana,Bnei Sakhnin,2,2,0,D,1,1
2018/19,2018,relegation,Hapoel Ra'anana,F.C. Ashdod,1,2,-1,A,0,3
2018/19,2018,relegation,Hapoel Ra'anana,Hapoel Tel Aviv,2,1,1,H,3,0
2018/19,2018,relegation,Hapoel Tel Aviv,Beitar Jerusalem,1,2,-1,A,0,3
